,S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
118,119,Estonia,28855.0,0.0,336.0,8.35,2.21,466.57,23027.0,2758.0,8
119,120,Zimbabwe,24000.0,0.0,26.2,6.13,1.62,342.42,1128.0,184.0,7
120,121,Georgia,33000.0,0.0,126.0,5.04,1.33,281.51,4279.0,849.0,7
121,122,State of Palestine,24001.0,0.0,79.4,6.62,1.75,370.13,3240.0,489.0,6
122,123,Namibia,26000.0,0.0,169.0,4.8,1.27,268.18,4211.0,877.0,5
123,124,Albania,27000.0,0.0,143.4,8.0,2.11,447.11,5215.0,652.0,5
124,125,Mauritius,28000.0,0.0,340.2,6.36,1.68,355.32,8628.0,1357.0,4
125,126,Brunei ,16000.0,0.0,584.3,0.83,0.22,46.53,27443.0,33064.0,57
126,127,Macao,17110.0,0.0,428.0,5.42,1.43,302.87,86117.0,15889.0,37
127,128,DR Congo,21000.0,0.0,4.1,4.43,1.17,247.46,557.0,126.0,31
128,129,Haiti,23000.0,0.0,32.5,2.18,0.58,122.04,1177.0,540.0,17
129,130,Gabon,21000.0,0.0,160.3,3.65,0.97,204.1,7006.0,1919.0,12
130,131,Madagascar,18000.0,0.0,11.1,3.86,1.02,215.94,496.0,128.0,12
131,132,Botswana,21000.0,0.0,149.0,4.29,1.13,239.42,6711.0,1564.0,10
132,133,Burkina Faso,23000.0,0.0,18.9,4.33,1.14,241.74,831.0,192.0,10
133,134,Moldova,18001.0,0.0,67.9,6.75,1.78,376.89,4551.0,674.0,10
134,135,Mali,21999.0,0.0,18.8,4.61,1.22,257.61,859.0,186.0,10
135,136,Congo,17000.0,0.0,52.3,3.94,1.04,219.96,1973.0,501.0,10
136,137,Togo,15000.0,0.0,30.6,3.18,0.84,177.45,915.0,288.0,9
137,138,Guinea,19001.0,0.0,24.8,5.13,1.36,286.79,1194.0,233.0,9
138,139,Zambia,22000.0,0.0,20.6,5.59,1.48,312.6,1051.0,188.0,9
139,140,Laos,18000.0,0.0,40.3,7.23,1.91,403.75,2630.0,364.0,9
140,141,Mongolia,21000.0,0.0,105.3,4.67,1.23,260.78,4007.0,858.0,8
141,142,Iceland,19090.0,0.0,880.9,9.83,2.6,549.48,59270.0,6030.0,7
142,143,North Macedonia,21000.0,0.0,154.7,7.12,1.88,397.62,5888.0,827.0,5
